time,.TimeStep,.Agent,.Target,.LambdaMin,.TMu,.TMuDim,.TCov,.TCovDim
1969/12/31/17:04:24.607000,33,X2,T1,-6.59533438793668,"(2.4288862125768, 5.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(0.07195267589476276, 0.06539641587317156, 0.018159751699945853, 0.0020490448200158233, 0.06539641587317158, 0.442551947116371, 0.25945436487909196, -0.17859352359655833, 0.01815975169994585, 0.25945436487909185, 0.5161770353338356, 0.2913988367758958, 0.002049044820015825, -0.1785935235965583, 0.2913988367758958, 0.06171111495619185)","(4, 4)"
1969/12/31/17:04:24.617000,33,X1,T1,-0.559668655717806,"(1.4288862125768, 7.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(0.2948645291945618, -4.701706081049204, -0.08983917504453379, 2.9871515396835173, -4.701706081049204, -94.86946267292706, -1.8040910846345646, 57.327906907563246, -0.08983917504453376, -1.8040910846345641, 1.1998963754854317, 1.575882848686764, 2.9871515396835173, 57.32790690756325, 1.5758828486867644, -48.5263451028538)","(4, 4)"
1969/12/31/17:04:24.702000,34,X2,T1,0.771888477928245,"(2.4288862125768, -2.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(0.20292967709654927, 0.1326680336989283, 0.05102194495164488, -0.017792048180300186, 0.1326680336989283, 0.6617586644346879, 0.270478256905046, -0.24582857881372389, 0.05102194495164488, 0.270478256905046, 0.7058669724514632, 0.32549246347680927, -0.017792048180300193, -0.24582857881372394, 0.32549246347680927, 0.1582047531845947)","(4, 4)"
1969/12/31/17:04:24.702000,34,X1,T1,0.533031509735061,"(1.4288862125768, 4.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(20.502951056899015, 190.22947326924523, 5.654525858620675, -110.17852108549837, 190.22947326924523, 1838.6176058200526, 51.71071939147122, -1069.1485323396553, 5.654525858620674, 51.71071939147121, 3.6562383588724643, -29.491741177171352, -110.17852108549836, -1069.148532339655, -29.491741177171356, 597.2896076439646)","(4, 4)"
1969/12/31/17:04:24.811000,35,X2,T1,0.767147720803331,"(-1.4288862125768, -4.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(0.34026012157617835, 0.22404239405122678, 0.11435488444834827, -0.029598185726654437, 0.2240423940512268, 0.9005590363848054, 0.11999237760799686, -0.3951813859894369, 0.11435488444834828, 0.1199923776079969, 0.22165787954516666, 0.06791557865694106, -0.02959818572665444, -0.3951813859894369, 0.06791557865694106, 0.1465475359155265)","(4, 4)"
1969/12/31/17:04:24.812000,35,X1,T1,-1.22760030608772,"(3.4288862125768, 2.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(1.9397094096783647, 8.14920963507281, 1.1507998346118342, -5.035229929307398, 8.14920963507281, 23.698057270683865, -2.044224002069726, -9.713296552100186, 1.1507998346118353, -2.0442240020697238, 9.14360480627095, -2.047399824687455, -5.0352299293074, -9.713296552100187, -2.0473998246874543, 24.57399482936058)","(4, 4)"
1969/12/31/17:04:24.909000,36,X2,T1,0.817785332569965,"(2.4288862125768, 5.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(0.4837092924232113, 0.321626434296968, 0.11553516937663602, -0.07173504161480057, 0.3216264342969681, 1.1584794954739213, 0.07887264416199131, -0.4746874464738604, 0.11553516937663594, 0.07887264416199109, 0.3469904830202406, 0.0949886904534711, -0.07173504161480064, -0.4746874464738606, 0.094988690453471, 0.2721512005545843)","(4, 4)"
1969/12/31/17:04:24.910000,36,X1,T1,0.038611843708106,"(-2.4288862125768, 5.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(1.8968118046681417, 5.279695018653822, 0.27584607799917293, -2.8208028676143724, 5.279695018653827, -214.9505290549933, 4.598943544836802, 101.24610830501871, 0.27584607799917343, 4.598943544836779, 1.8675287489327703, 4.992228095462734, -2.820802867614372, 101.24610830501868, 4.992228095462724, 324.6931521448983)","(4, 4)"
1969/12/31/17:04:25.009000,37,X2,T1,0.816862577211521,"(2.4288862125768, 5.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(0.6013073556567963, 0.41281231562078674, 0.09916911735477099, -0.11348872348017705, 0.41281231562078674, 1.432287790563266, 0.021685314975958086, -0.5563965995931626, 0.099169117354771, 0.021685314975958127, 0.4617696499933027, 0.13027103659390996, -0.11348872348017706, -0.5563965995931626, 0.13027103659390996, 0.41688325126564296)","(4, 4)"
1969/12/31/17:04:25.010000,37,X1,T1,0.613352745019236,"(3.4288862125768, 7.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(1.2491703497775197, -8.455342323749173, 0.31914465853810675, -0.4905664583686487, -8.45534232374917, -515.3116798541519, 5.447472943057084, 14.792355682073202, 0.3191446585381062, 5.447472943057058, 1.8600960812816456, 9.784762227344249, -0.4905664583686506, 14.792355682073113, 9.784762227344249, 245.00679755594481)","(4, 4)"
1969/12/31/17:04:25.114000,38,X1,T1,0.652478406862088,"(2.4288862125768, -2.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(2.263885922227969, 24.604016631322537, 0.21850741263450452, 2.9646018353967802, 24.604016631322548, 518.4625562663651, 0.8222925321955172, 70.9140350590994, 0.2185074126345025, 0.8222925321954758, 1.81832729584307, 8.953663681248484, 2.9646018353967762, 70.91403505909932, 8.953663681248491, 152.36552529165095)","(4, 4)"
1969/12/31/17:04:25.115000,38,X2,T1,0.810642036187237,"(5.4288862125768, 4.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(0.6849137875890206, 0.49043147266871834, 0.07509856765192004, -0.14877308789819782, 0.49043147266871834, 1.7226118440512586, -0.03916120427969294, -0.6359365613096903, 0.07509856765192009, -0.03916120427969277, 0.5600331176209808, 0.17074751767175309, -0.14877308789819776, -0.6359365613096902, 0.1707475176717531, 0.583938503693431)","(4, 4)"
1969/12/31/17:04:25.211000,39,X2,T1,0.806370896921389,"(-1.4288862125768, 6.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(0.7396999421678564, 0.556557849521995, 0.05356745039822409, -0.17542962842774384, 0.556557849521995, 2.0268715445329644, -0.09232296844180785, -0.707521302193652, 0.05356745039822405, -0.09232296844180787, 0.6363954198549232, 0.21294628343199118, -0.17542962842774384, -0.707521302193652, 0.2129462834319912, 0.7753359615402684)","(4, 4)"
1969/12/31/17:04:25.215000,39,X1,T1,0.659722005061403,"(4.4288862125768, 2.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(1.603279216497121, 9.510190746393967, 0.282999707945423, 1.6957094667842354, 9.510190746393969, 134.50817508867956, 1.5125410745551606, 25.490717638602234, 0.282999707945423, 1.512541074555161, 1.7167953947477728, 7.4953437238565455, 1.6957094667842352, 25.49071763860223, 7.495343723856546, 94.38616141908284)","(4, 4)"
1969/12/31/17:04:25.314000,40,X2,T1,0.803466342397603,"(2.4288862125768, 5.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(0.7631476180971578, 0.6074085704277208, 0.04117446455595184, -0.19031994320247117, 0.607408570427721, 2.337654196538013, -0.1307811950590081, -0.7644676492367216, 0.04117446455595184, -0.130781195059008, 0.6890629537873373, 0.255140871653871, -0.1903199432024712, -0.7644676492367215, 0.25514087165387106, 0.9932371960561608)","(4, 4)"
1969/12/31/17:04:25.314000,40,X1,T1,0.686055554950189,"(1.4288862125768, 7.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(1.3023330379772051, 5.876262422135047, 0.3348267939009924, 1.4557138547927824, 5.876262422135047, 67.80098503170258, 1.4704987858095215, 14.84395050642159, 0.3348267939009923, 1.4704987858095209, 1.5887029113007831, 6.090786958007034, 1.4557138547927821, 14.84395050642159, 6.090786958007034, 63.237674433076364)","(4, 4)"
1969/12/31/17:04:25.409000,41,X2,T1,0.801675248736484,"(2.4288862125768, -2.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(0.7514202271776421, 0.6385798742336164, 0.04506215254725927, -0.18987580705857754, 0.6385798742336164, 2.646390992158498, -0.14864993534745644, -0.7996753769844799, 0.04506215254725926, -0.1486499353474564, 0.718505126536809, 0.29617503161391806, -0.18987580705857754, -0.7996753769844798, 0.29617503161391806, 1.2393708505707266)","(4, 4)"
1969/12/31/17:04:25.418000,41,X1,T1,0.703642492157242,"(1.4288862125768, 4.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(0.8479251327423146, 3.220912308617004, 0.5033054638927377, 1.7502155845118605, 3.220912308617004, 38.69568562392975, 1.8541623335465713, 11.781710367092902, 0.5033054638927377, 1.8541623335465716, 1.4032235764142544, 4.80177482232938, 1.750215584511861, 11.781710367092904, 4.80177482232938, 44.581385228742434)","(4, 4)"
